eid,title,doi,year,journal,all_countries
2-s2.0-0001087787,Propagation of mutual intensity expressed in terms of the fractional Fourier transform,10.1364/JOSAA.13.001068,1996,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-0011607402,Degenerate elliptic boundary value problems,10.1080/00036819608840424,1996,International Journal of Phytoremediation,Israel; Turkey
2-s2.0-0029728762,The stable isotope composition of waters of the eastern Mediterranean Sea,10.1029/95JC02829,1996,Journal of Geophysical Research Oceans,Israel; Turkey
2-s2.0-21444433753,Infinite products of finite simple groups,10.1090/s0002-9947-96-01746-1,1996,Transactions of the American Mathematical Society,Israel; Turkey; United Kingdom
2-s2.0-0031341209,The chorus experiment to search for νμ → ντ oscillation,10.1016/S0168-9002(97)00931-5,1997,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Israel; Turkey
2-s2.0-0030706696,Joint source-channel coding and guessing,10.1109/ISIT.1997.613077,1997,IEEE International Symposium on Information Theory Proceedings,Israel; Turkey
2-s2.0-4243720198,The spin-dependent structure function g1(x) of the proton from polarized deep-inelastic muon scattering,10.1016/S0370-2693(97)01106-4,1997,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Spain; Turkey
2-s2.0-0041163081,A line-shape analysis for spin-1 NMR signals,10.1016/S0168-9002(97)00317-3,1997,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Israel; Netherlands; Turkey; United States
2-s2.0-0030922785,The STR252 - IVS10nt546 - VNTR7 phenylalanine hydroxylase minihaplotype in five mediterranean samples,10.1007/s004390050515,1997,Human Genetics,Israel; Italy; Turkey
2-s2.0-0000430133,Insertion of amines and alcohols into proton-bound dimers. A density functional study,10.1021/jp963308e,1997,Journal of Physical Chemistry A,Israel; Turkey
2-s2.0-0001695931,The spin-dependent structure function g1(x) of the deuteron from polarized deep-inelastic muon scattering: Spin Muon Collaboration (SMC),10.1016/S0370-2693(97)00159-7,1997,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Turkey; United States
2-s2.0-0031080503,Similarities and differences of the spheroidal microstructure in Vertisols from Turkey and Israel,10.1016/S0341-8162(96)00044-6,1997,Catena,Israel; Turkey
2-s2.0-0030869465,Primary antiphospholipid syndrome emerging following thymectomy for myasthenia gravis: Additional evidence for the kaleidoscope of autoimmunity,10.1177/096120339700600511,1997,Lupus,Israel; Turkey
2-s2.0-0007453879,"Banded karyotypes of mole rats (Spalax, Spalacidae, Rodentia) from Turkey: A comparative analysis",10.1111/j.1439-0469.1997.tb00421.x,1997,Journal of Zoological Systematics and Evolutionary Research,Israel; Turkey
2-s2.0-0030751382,Induction of long-term glycemic control in newly diagnosed type 2 diabetic patients by transient intensive insulin treatment,10.2337/diacare.20.9.1353,1997,Diabetes Care,Israel; Turkey
2-s2.0-0030820243,Genetic diversity in Pinus brutia TEN.: Altitudinal variation,,1997,Silvae Genetica,Israel; Turkey
2-s2.0-0031179147,"Performance of Naked Neck and Normal Broilers in Hot, Warm, and Temperate Climates",10.1093/ps/76.7.930,1997,Poultry Science,Israel; Turkey
2-s2.0-0030874455,Genetic differentiation among and within natural and planted Cupressus sempervirens L. Eastern Mediterranean populations,,1997,Silvae Genetica,Israel; Turkey
2-s2.0-0031181116,Comparative Evaluation of Three Commercial Broiler Stocks in Hot Versus Temperate Climates,10.1093/ps/76.7.921,1997,Poultry Science,Israel; Turkey
2-s2.0-0001049254,"Structures and energetics of proton-bound formic acid-water clusters, (HCOOH)n(H2O)H+",10.1016/s0168-1176(96)04529-6,1997,International Journal of Mass Spectrometry and Ion Processes,Israel; Turkey
2-s2.0-0030899309,Cost-minimisation analysis of sequential treatment with ofloxacin or ciprofloxacin in hospitalised patients,10.2165/00019053-199711040-00007,1997,Pharmacoeconomics,France; Israel; Turkey
2-s2.0-0030714424,Beam smoothing and temporal effects: Optimized preparation of laser beams for direct-drive inertial confinement fusion,10.1017/s0263034600010594,1997,Laser and Particle Beams,Australia; Israel; Turkey
2-s2.0-0343148570,Spin structure of the proton from polarized inclusive deep-inelastic muon-proton scattering,10.1103/PhysRevD.56.5330,1997,Physical Review D Particles Fields Gravitation and Cosmology,Israel; Turkey; United States
2-s2.0-0030754623,Geographic distribution and regional origin of 272 cystic fibrosis mutations in European populations,10.1002/(SICI)1098-1004(1997)10:2<135::AID-HUMU6>3.0.CO;2-J,1997,Human Mutation,Israel; Spain; Turkey
2-s2.0-0032295386,Measurement of proton and nitrogen polarization in ammonia and a test of equal spin temperature the Spin Muon Collaboration,10.1016/S0168-9002(98)00916-4,1998,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Israel; Spain; Turkey
2-s2.0-84890321610,The Shannon cipher system with a guessing wiretapper,10.1109/ISIT.1998.708668,1998,IEEE International Symposium on Information Theory Proceedings,Israel; Turkey
2-s2.0-0032026457,Puise-by-pulse reoptimization of the synthesis filter in pulse-based coders,10.1109/89.661477,1998,IEEE Transactions on Speech and Audio Processing,Israel; Palestine; Turkey
2-s2.0-0032072149,Guessing subject to distortion,10.1109/18.669158,1998,IEEE Transactions on Information Theory,Israel; Turkey
2-s2.0-0542373834,Next-to-leading order QCD analysis of the spin structure function g1,10.1103/PhysRevD.58.112002,1998,Physical Review D Particles Fields Gravitation and Cosmology,Israel; Spain; Turkey
2-s2.0-0542421341,Spin asymmetries A1 and structure functions g1 of the proton and the deuteron from polarized high energy muon scattering,10.1103/PhysRevD.58.112001,1998,Physical Review D Particles Fields Gravitation and Cosmology,Israel; Spain; Turkey
2-s2.0-0348203695,Observation of neutrino induced diffractive Ds*+ production and subsequent decay Ds*+ → Ds+ → τ+ → μ+,10.1016/S0370-2693(98)00914-9,1998,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Belgium; Israel; Turkey
2-s2.0-0346855254,Search for vμ → vτ oscillation using the τ decay modes into a single charged particle,10.1016/s0370-2693(98)00781-3,1998,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Turkey
2-s2.0-0000542897,"Modeling proton-bound methanol, ammonia, and amine complexes of 12-crown-4-ether and dimethoxyethane (""glyme"") using density functional theory",10.1021/jp981724o,1998,Journal of Physical Chemistry A,Israel; Turkey
2-s2.0-0031977279,Assessment of pyrin gene mutations in Turks with familial Mediterranean fever (FMF),10.1002/(SICI)1098-1004(1998)11:6<456::AID-HUMU6>3.0.CO;2-G,1998,Human Mutation,Israel; Turkey; United States
2-s2.0-0345870286,A search for νμ → ντ oscillation,10.1016/S0370-2693(98)00081-1,1998,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Turkey
2-s2.0-0346459575,Polarised quark distributions in the nucleon from semi-inclusive spin asymmetries,10.1016/S0370-2693(97)01546-3,1998,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Spain; Turkey
2-s2.0-0031883808,Species-specific detection of Leishmania in sandflies using an enzyme-linked immunosorbent assay,10.1016/S0035-9203(98)90946-4,1998,Transactions of the Royal Society of Tropical Medicine and Hygiene,Israel; Turkey
2-s2.0-0344404190,At least six different mutations in HEXA gene cause Tay-Sachs disease among the Turkish population,10.1006/mgme.1998.2742,1998,Molecular Genetics and Metabolism,Israel; Turkey
2-s2.0-0032200566,Bacterial adherence to bleached surfaces of composite resin in vitro,10.1016/S1079-2104(98)90350-X,1998,Oral Surgery Oral Medicine Oral Pathology Oral Radiology and Endodontics,Israel; Turkey
2-s2.0-0031611465,"Identification of ATM mutations using extended RT-PCR and restriction endonuclease fingerprinting, and elucidation of the repertoire of A-T mutations in Israel",10.1002/(SICI)1098-1004(1998)11:1<69::AID-HUMU11>3.0.CO;2-X,1998,Human Mutation,Israel; Turkey
2-s2.0-0031857486,Preliminary technique of laparoscopic extraperitoneal infrarenal paraaortic lymphadenectomy in the porcine model,10.1016/S1074-3804(98)80033-9,1998,Journal of the American Association of Gynecologic Laparoscopists,Israel; Turkey; United States
2-s2.0-0032239781,Mobilization of intracellular calcium by intracellular flash photolysis of caged dihydrosphingosine in cultured neonatal rat sensory neurones,10.18388/abp.1998_4227,1998,Acta Biochimica Polonica,Israel; Turkey; United Kingdom
2-s2.0-0031700118,Amyloidosis in familial mediterranean fever is associated with a specific ancestral haplotype in the MEFV locus,10.1006/mgme.1998.2757,1998,Molecular Genetics and Metabolism,Israel; Turkey
2-s2.0-7844242240,Update on oral lichen planus: Etiopathogenesis and management,10.1177/10454411980090010501,1998,Critical Reviews in Oral Biology and Medicine,Israel; Switzerland; Turkey; United Kingdom
2-s2.0-77957719167,Introduction to the Fractional Fourier Transform and Its Applications,10.1016/S1076-5670(08)70272-6,1999,Advances in Imaging and Electron Physics,Israel; Turkey
2-s2.0-0033185015,The shannon cipher system with a guessing wiretapper,10.1109/18.782106,1999,IEEE Transactions on Information Theory,Israel; Turkey
2-s2.0-0032648862,Hierarchical guessing with a fidelity criterion,10.1109/18.746836,1999,IEEE Transactions on Information Theory,Israel; Turkey; United States
2-s2.0-0344199857,Separation of groundwater-flow components in a karstified aquifer using environmental tracers,10.1016/S0883-2927(99)00012-8,1999,Applied Geochemistry,Israel; Turkey
2-s2.0-18044394844,Spin asymmetries A1 of the proton and the deuteron in the low x and low Q2 region from polarized high energy muon scattering,10.1103/PhysRevD.60.072004,1999,Physical Review D Particles Fields Gravitation and Cosmology,Israel; Spain; Turkey
2-s2.0-0032759672,The role of atmospheric deposition in the biogeochemistry of the Mediterranean Sea,10.1016/S0079-6611(99)00024-5,1999,Progress in Oceanography,Israel; Italy; Turkey
2-s2.0-0032882882,CT and MR imaging of contact lenses and intraocular lens implants,10.1016/S0895-6111(99)00018-X,1999,Computerized Medical Imaging and Graphics,Israel; Turkey
2-s2.0-0345493754,Alcohol intake and sexually transmitted diseases,10.1016/S0738-081X(99)00035-8,1999,Clinics in Dermatology,Israel; Turkey
2-s2.0-0344199952,Alcohol ingestion and the cutaneous vasculature,10.1016/S0738-081X(99)00023-1,1999,Clinics in Dermatology,Israel; Turkey
2-s2.0-0033509899,The Eastern Mediterranean in the 80s and in the 90s: The big transition in the intermediate and deep circulations,10.1016/S0377-0265(99)00011-1,1999,Dynamics of Atmospheres and Oceans,Israel; Turkey
2-s2.0-10444242552,Outdoor testing of agricultural cladding materials,10.17660/ActaHortic.1999.491.8,1999,Acta Horticulturae,Israel; Turkey
2-s2.0-0033397335,"Regulation of the parathyroid hormone gene by vitamin D, calcium and phosphate",10.1046/j.1523-1755.1999.07310.x,1999,Kidney International Supplement,Israel; Turkey
2-s2.0-0032949722,Role of endothelin in obstructive jaundice,10.1023/A:1026614803584,1999,Digestive Diseases and Sciences,Israel; Turkey
2-s2.0-0033209469,Season by genotype interaction related to broiler growth rate and heat tolerance,10.1093/ps/78.10.1353,1999,Poultry Science,Israel; Turkey
2-s2.0-0033212532,Genetic analysis of cow survival in the Israeli dairy cattle population,10.3168/jds.S0022-0302(99)75461-5,1999,Journal of Dairy Science,Israel; Turkey
2-s2.0-0013064892,"A methodology for solving single-model, stochastic assembly line balancing problem",10.1016/S0305-0483(99)00016-X,1999,Omega,Israel; Turkey; United States
2-s2.0-0032929738,Phenotype-genotype correlation in familial Mediterranean fever: Evidence for an association between Met694Val and amyloidosis,10.1038/sj.ejhg.5200303,1999,European Journal of Human Genetics,Israel; Turkey
2-s2.0-0033238059,Familial aggregation in Behcet's disease: High frequency in siblings and parents of pediatric probands,10.1016/S0022-3476(99)70333-1,1999,Journal of Pediatrics,France; Israel; Turkey
2-s2.0-2442604236,Beam matter interaction physics for fast ignitors,10.1016/S0920-3796(98)00277-4,1999,Fusion Engineering and Design,Australia; Israel; Turkey
2-s2.0-0000654404,Cruise AVI-II 93: Preliminary data from the Iskenderun Bay (Turkey),10.1007/BF03001623,1994,Rendiconti Lincei,Israel; Turkey; Türkiye
2-s2.0-0029389506,Optical implementation of the two-dimensional fractional Fourier transform with different orders in the two dimensions,10.1016/0030-4018(95)00438-E,1995,Optics Communications,Israel; Turkey; Türkiye
2-s2.0-0029052832,More on hepatitis c virus and behçet's syndrome,10.1056/NEJM199508033330517,1995,New England Journal of Medicine,Israel; Türkiye
2-s2.0-0031104438,Design of dynamically adjustable anamorphic fractional Fourier transformer,10.1016/S0030-4018(96)00613-X,1997,Optics Communications,Israel; Turkey; Türkiye
2-s2.0-0000239375,Optimization of binary circular filters,10.1117/1.601258,1997,Optical Engineering,Israel; Türkiye
2-s2.0-0000320601,Optical implementations of two-dimensional fractional fourier transforms and linear canonical transforms with arbitrary parameters,10.1364/AO.37.002130,1998,Applied Optics,Israel; Turkey; Türkiye; United States
2-s2.0-0030755074,Definitive evidence for an autosomal recessive form of hypohidrotic ectodermal dysplasia clinically indistinguishable from the more common X- linked disorder,10.1086/513905,1997,American Journal of Human Genetics,Israel; United Arab Emirates; United States
2-s2.0-0031331858,Application of dynamic supply current monitoring to testing mixed-signal circuits,10.1155/1997/47423,1997,VLSI Design,Canada; Israel; United Arab Emirates; United Kingdom
2-s2.0-0032835805,Atrichia with papular lesions resulting from a nonsense mutation within the human hairless gene,10.1046/j.1523-1747.1999.00723.x,1999,Journal of Investigative Dermatology,Israel; United Arab Emirates
